Date,Stadium,Opponent,HR Distance,HR in how many parks?,HR in Yankee Stadium?,HR at OPP Stadium?
2024-05-31,Oracle Park,San Francisco Giants,394,29,1,1
2024-05-31,Oracle Park,San Francisco Giants,426,30,1,1
2024-06-08,Yankee Stadium,Los Angeles Dodgers,386,20,1,1
2024-06-08,Yankee Stadium,Los Angeles Dodgers,379,10,1,1
2024-07-29,Citizens Bank Park,Philadelphia Phillies,430,30,1,1
2024-07-29,Citizens Bank Park,Philadelphia Phillies,406,30,1,1
2024-08-21,Yankee Stadium,Cleveland Guardians,370,4,1,0
2024-08-21,Yankee Stadium,Cleveland Guardians,356,9,1,1
2024-08-25,Yankee Stadium,Colorado Rockies,431,30,1,1
2024-08-25,Yankee Stadium,Colorado Rockies,377,3,1,0
2024-04-03,Chase Field,Arizona Diamondbacks,396,29,1,1
2024-04-06,Yankee Stadium,Toronto Blue Jays,425,30,1,1
2024-04-14,Progressive Stadium,Cleveland Guardians,456,30,1,1
2024-04-24,Yankee Stadium,Oakland Athletics,361,9,1,0
2024-04-27,American Family Field,Milwaukee Brewers,417,23,1,1
2024-04-28,American Family Field,Milwaukee Brewers,441,30,1,1
2024-05-05,Yankee Stadium,Detroit Tigers,399,30,1,1
2024-05-08,Yankee Stadium,Houston Astros,404,29,1,1
2024-05-09,Yankee Stadium,Houston Astros,473,30,1,1
2024-05-12,Tropicana Field,Tampa Bay Rays,374,29,1,1
2024-05-15,Target Field,Minnesota Twins,467,30,1,1
2024-05-17,Yankee Stadium,Chicago White Sox,433,30,1,1
2024-05-19,Yankee Stadium,Chicago White Sox,339,1,1,0
2024-05-22,Yankee Stadium,Seattle Mariners,374,26,1,1
2024-05-23,Yankee Stadium,Seattle Mariners,414,24,1,1
2024-05-24,Petco Park,San Diego Padres,409,30,1,1
2024-05-25,Petco Park,San Diego Padres,429,30,1,1
2024-05-30,Angel Stadium,Los Angeles Angels,433,30,1,1
2024-06-01,Oracle Park,San Francisco Giants,464,30,1,1
2024-06-09,Yankee Stadium,Los Angeles Dodgers,434,30,1,1
2024-06-11,Kauffman Stadium,Kansas City Royals,436,30,1,1
2024-06-16,Fenway Park,Boston Red Sox,380,23,1,1
2024-06-20,Yankee Stadium,Baltimore Orioles,395,25,1,1
2024-06-22,Yankee Stadium,Atlanta Braves,366,9,1,0
2024-06-25,Citi Field,New York Mets,390,18,1,1
2024-06-26,Citi Field,New York Mets,400,30,1,1
2024-06-30,Rodgers Centre,Toronto Blue Jays,423,30,1,1
2024-07-02,Yankee Stadium,Cincinnati Reds,381,28,1,1
2024-07-12,Camden Yards,Baltimore Orioles,397,30,1,1
2024-07-13,Camden Yards,Baltimore Orioles,431,30,1,1
2024-07-21,Yankee Stadium,Tampa Bay Rays,444,30,1,1
2024-07-26,Fenway Park,Boston Red Sox,470,30,1,1
2024-07-27,Fenway Park,Boston Red Sox,432,30,1,1
2024-08-02,Yankee Stadium,Toronto Blue Jays,477,30,1,1
2024-08-03,Yankee Stadium,Toronto Blue Jays,426,30,1,1
2024-08-11,Yankee Stadium,Texas Rangers,374,3,1,0
2024-08-14,Guarenteed Rate Field,Chicago White Sox,361,11,0,1
2024-08-16,Comerica Park,Detroit Tigers,431,30,1,1
2024-08-20,Yankee Stadium,Cleveland Guardians,376,3,1,0
2024-08-22,Yankee Stadium,Cleveland Guardians,360,29,1,0
2024-08-23,Yankee Stadium,Colorado Rockies,388,29,1,1
2024-09-13,Yankee Stadium,Boston Red Sox,369,28,1,1
2024-09-15,Yankee Stadium,Boston Red Sox,445,30,1,1
2024-09-21,Oakland Colliseum,Oakland Athletics,425,30,1,1
2024-09-22,Oakland Colliseum,Oakland Athletics,407,18,0,1
2024-09-24,Yankee Stadium,Baltimore Orioles,407,30,1,1
2024-09-25,Yankee Stadium,Baltimore Orioles,412,29,1,1
2024-09-26,Yankee Stadium,Baltimore Orioles,394,27,1,0